Products,Budget version,Month,Freight,Other Sales Revenue,Other Sales Cost of Goods Sold,Quantity
Lanterns,Budget version 2,Oct,2804.41,13374.79,5815.13,6
Lanterns,Budget version 2,Nov,2132.7,10171.31,4422.31,4
Navigation,Budget version 1,Dec,4029,19215.08,8354.38,8
Navigation,Budget version 1,Jan,1492.16,7116.69,3094.21,3
Navigation,Budget version 1,Feb,1790.64,8540.05,3713.07,4
Navigation,Budget version 2,Mar,4341.92,20707.87,9003.42,9
Navigation,Budget version 2,Apr,1613.78,7696.67,3346.38,3
Navigation,Budget version 2,May,1921.25,9162.73,3983.8,4
Packs,Budget version 1,Jun,4517.26,21543.77,9366.86,9
Packs,Budget version 1,Jul,1276.66,6088.47,2647.16,3
Packs,Budget version 1,Aug,1080.16,5151.72,2239.88,2
Packs,Budget version 2,Sep,4855.02,23154.89,10067.34,10
Packs,Budget version 2,Oct,1365.47,6512.25,2831.41,3
Packs,Budget version 2,Nov,1112.59,5306.29,2307.08,2
Rope,Budget version 1,Dec,4438.46,21168.13,9203.53,9
Rope,Budget version 1,Jan,9698.88,46256.44,20111.5,20
Rope,Budget version 2,Feb,4740.99,22610.75,9830.76,10
Rope,Budget version 2,Mar,10497.79,50066.64,21768.1,22
Safety,Budget version 1,Apr,1622.65,7738.61,3364.61,3
Safety,Budget version 1,May,2433.97,11607.85,5046.89,5
Safety,Budget version 2,Jun,1754.91,8369.27,3638.81,4
Safety,Budget version 2,Jul,2590.43,12354.69,5371.6,5
Sleeping Bags,Budget version 1,Aug,5348.98,25510.43,11091.49,11
Sleeping Bags,Budget version 1,Sep,1976.74,9427.77,4099.03,4
Sleeping Bags,Budget version 2,Oct,5689.02,27132.57,11796.77,12
Sleeping Bags,Budget version 2,Nov,2095.96,9996.22,4346.18,4
Sunscreen,Budget version 1,Dec,212.84,1015.17,441.38,0
Sunscreen,Budget version 1,Jan,53.84,257.05,111.76,0
Sunscreen,Budget version 1,Feb,522.72,2493.01,1083.92,1
Sunscreen,Budget version 2,Mar,227.54,1085.35,471.89,0
Sunscreen,Budget version 2,Apr,58.28,277.96,120.85,0
Sunscreen,Budget version 2,May,559.21,2667.08,1159.6,1
Tents,Budget version 1,Jun,25643.33,122298.97,53173.47,53
Tents,Budget version 1,Jul,3808.43,18163.17,7897.03,8
Tents,Budget version 2,Aug,27589.42,131580.41,57208.87,57
Tents,Budget version 2,Sep,4184.19,19955.33,8676.23,9
Tools,Budget version 1,Oct,2386.08,11379.81,4947.74,5
Tools,Budget version 1,Nov,7252.5,34588.54,15038.5,15
Tools,Budget version 2,Dec,2554.7,12183.91,5297.35,5
Tools,Budget version 2,Jan,7793.34,37168.45,16160.2,16
Watches,Budget version 1,Feb,758.37,3616.87,1572.55,2
Watches,Budget version 1,Mar,758.37,3616.87,1572.55,2
Watches,Budget version 2,Apr,809.04,3858.35,1677.54,2
Watches,Budget version 2,May,809.04,3858.35,1677.54,2
Climbing Accessories,Budget version 1,Jun,2957.07,14103.01,6131.74,6
Climbing Accessories,Budget version 2,Jul,3174.98,15142.37,6583.64,7
Eyewear,Budget version 1,Aug,1396.25,6659.08,2895.25,3
Eyewear,Budget version 2,Sep,1495.7,7133.16,3101.37,3
Irons,Budget version 1,Oct,3018.26,14395.03,6258.71,6
Irons,Budget version 2,Nov,3281.53,15650.65,6804.63,7
Packs,Budget version 1,Dec,3829.84,18265.41,7941.48,8
Packs,Budget version 2,Jan,4096.4,19536.87,8494.29,8
Putters,Budget version 1,Feb,1429.82,6819.47,2964.99,3
Putters,Budget version 2,Mar,1539.66,7343.21,3192.7,3
Rope,Budget version 1,Apr,7561.88,36064.35,15680.15,16
Rope,Budget version 2,May,8042.66,38357.56,16677.2,17
Safety,Budget version 1,Jun,405.66,1934.68,841.17,1
Safety,Budget version 2,Jul,438.73,2092.29,909.69,1
Sleeping Bags,Budget version 1,Aug,755.83,3604.71,1567.27,2
Sleeping Bags,Budget version 2,Sep,808.41,3855.68,1676.38,2
Tents,Budget version 1,Oct,17264.81,82339.91,35799.96,36
Tents,Budget version 2,Nov,18436.57,87928.08,38229.6,38
Tools,Budget version 1,Dec,3139.63,14973.37,6510.16,7
Tools,Budget version 2,Jan,3379.33,16116.62,7007.23,7
Watches,Budget version 1,Feb,4008.6,19117.65,8312.02,8
Watches,Budget version 2,Mar,4296.19,20489.45,8908.46,9
Woods,Budget version 1,Apr,531.34,2534.18,1101.82,1
Woods,Budget version 2,May,547.3,2610.19,1134.87,1
Cooking Gear,Budget version 1,Jun,935.7,4462.21,1940.09,2
Cooking Gear,Budget version 1,Jul,2221.91,10597.58,4607.64,5
Eyewear,Budget version 1,Aug,1446.71,6900.41,3000.18,3
Eyewear,Budget version 1,Sep,723.35,3450.04,1500.02,2
Eyewear,Budget version 1,Oct,868.09,4140.24,1800.1,2
Eyewear,Budget version 1,Nov,4485.18,21391.09,9300.47,9
Eyewear,Budget version 1,Dec,723.35,3450.04,1500.02,2
Insect Repellents,Budget version 1,Jan,184.78,881.87,383.42,0
Insect Repellents,Budget version 1,Feb,158.52,755.84,328.63,0
Insect Repellents,Budget version 1,Mar,448.98,2141.51,931.09,1
Insect Repellents,Budget version 1,Apr,501.82,2393.56,1040.68,1
Knives,Budget version 1,May,2140.19,10207.02,4437.83,4
Knives,Budget version 1,Jun,1355.47,6464.23,2810.53,3
Knives,Budget version 1,Jul,2782.15,13268.8,5769.04,6
Lanterns,Budget version 1,Aug,1224.84,5841.63,2539.84,3
Lanterns,Budget version 1,Sep,549.08,2618.71,1138.57,1
Lanterns,Budget version 1,Oct,1224.84,5841.63,2539.84,3
Lanterns,Budget version 1,Nov,1267.18,6043.15,2627.46,3
Packs,Budget version 1,Dec,3561.63,16985.99,7385.21,7
Packs,Budget version 1,Jan,4833.4,23052.11,10022.66,10
Sleeping Bags,Budget version 1,Feb,1958.04,9338.27,4060.12,4
Sleeping Bags,Budget version 1,Mar,2560.62,12211.67,5309.42,5
Sleeping Bags,Budget version 1,Apr,4819.62,22986.8,9994.26,10
Sunscreen,Budget version 1,May,167.38,798.84,347.32,0
Sunscreen,Budget version 1,Jun,230.4,1098.49,477.6,0
Sunscreen,Budget version 1,Jul,209.39,998.71,434.22,0
Tents,Budget version 1,Aug,26309.17,125475.13,54554.4,55
Tents,Budget version 1,Sep,11839.16,56463.86,24549.5,25
Tents,Budget version 1,Oct,8550.59,40779.51,17730.22,18
Tents,Budget version 1,Nov,11839.16,56463.86,24549.5,25
Tents,Budget version 1,Dec,74323.84,354467.16,154116.16,154
Watches,Budget version 1,Jan,1543.52,7361.85,3200.8,3
Watches,Budget version 1,Feb,6034.29,28778.55,12512.41,13
Watches,Budget version 1,Mar,2806.44,13385.31,5819.7,6
Woods,Budget version 1,Apr,4129.74,19694.95,8563.02,9
Climbing Accessories,Budget version 1,May,12581.88,60005.79,26089.47,26
Eyewear,Budget version 1,Jun,6076.62,28981.37,12600.6,13
Navigation,Budget version 1,Jul,5218.71,24889.05,10821.33,11
Rope,Budget version 1,Aug,29384.4,140141.07,60930.9,61
Safety,Budget version 1,Sep,9457.74,45106.5,19611.52,20
Tools,Budget version 1,Oct,9760.01,46547.62,20238.1,20
Cooking Gear,Budget version 1,Nov,526.43,2510.07,1091.33,1
Cooking Gear,Budget version 1,Dec,234.01,1115.55,485.02,0
Lanterns,Budget version 1,Jan,844.79,4028.66,1751.59,2
Tents,Budget version 1,Feb,11839.16,56463.86,24549.5,25
Eyewear,Budget version 1,Mar,2893.74,13800.48,6000.21,6
Golf Accessories,Budget version 1,Apr,1672.51,7976.57,3468.07,3
Irons,Budget version 1,May,13900.58,66295.74,28824.23,29
Irons,Budget version 1,Jun,13900.58,66295.74,28824.23,29
Putters,Budget version 1,Jul,673.47,3212.09,1396.56,1
Putters,Budget version 1,Aug,841.83,4015.2,1745.74,2
Woods,Budget version 1,Sep,13765.36,65649.85,28543.41,29
Woods,Budget version 1,Oct,12388.89,59084.86,25689.07,26
Binoculars,Budget version 1,Nov,9715.7,46336.92,20146.49,20
Climbing Accessories,Budget version 1,Dec,6546.28,31220.68,13574.21,14
Climbing Accessories,Budget version 1,Jan,5292.88,25242.19,10974.87,11
Climbing Accessories,Budget version 1,Feb,4549.84,21699.6,9434.61,9
Climbing Accessories,Budget version 1,Mar,1392.88,6642.77,2888.16,3
Climbing Accessories,Budget version 1,Apr,5153.4,24577.91,10686.05,11
Cooking Gear,Budget version 1,May,4034.89,19243.02,8366.53,8
Cooking Gear,Budget version 1,Jun,1403.38,6693.31,2910.13,3
Cooking Gear,Budget version 1,Jul,1052.54,5019.82,2182.53,2
Cooking Gear,Budget version 1,Aug,1520.22,7250.92,3152.57,3
Eyewear,Budget version 1,Sep,1012.83,4830.12,2100.05,2
Eyewear,Budget version 1,Oct,1302.3,6210.2,2700.09,3
First Aid,Budget version 1,Nov,430.27,2052.89,892.56,1
First Aid,Budget version 1,Dec,331.15,1578.97,686.51,1
First Aid,Budget version 1,Jan,198.56,947.51,411.96,0
Insect Repellents,Budget version 1,Feb,1373.52,6550.87,2848.2,3
Knives,Budget version 1,Mar,1783.44,8505.63,3698.1,4
Knives,Budget version 1,Apr,2924.92,13949.48,6064.99,6
Knives,Budget version 1,May,1926.21,9186.32,3994.05,4
Knives,Budget version 1,Jun,1141.48,5443.53,2366.75,2
Knives,Budget version 1,Jul,4708.36,22455.12,9763.1,10
Lanterns,Budget version 1,Aug,15627.24,74530.28,32404.47,32
Lanterns,Budget version 1,Sep,3252.13,15510.4,6743.65,7
Lanterns,Budget version 1,Oct,1816.26,8661.53,3765.88,4
Lanterns,Budget version 1,Nov,971.47,4632.87,2014.29,2
Navigation,Budget version 1,Dec,16236.05,77432.88,33666.47,34
Navigation,Budget version 1,Jan,1932.77,9218.15,4007.89,4
Navigation,Budget version 1,Feb,2126.08,10140.07,4408.73,4
Packs,Budget version 1,Mar,46554.51,222029.27,96534.47,97
Rope,Budget version 1,Apr,29810.41,142171.97,61813.9,62
Rope,Budget version 1,May,19589.6,93427.38,40620.6,41
Safety,Budget version 1,Jun,1050.9,5011.94,2179.1,2
Safety,Budget version 1,Jul,3993.21,19045.12,8280.49,8
Sleeping Bags,Budget version 1,Aug,2861.9,13648.2,5934,6
Sleeping Bags,Budget version 1,Sep,25906.47,123553.19,53718.78,54
Sleeping Bags,Budget version 1,Oct,602.58,2873.39,1249.3,1
Sleeping Bags,Budget version 1,Nov,2861.9,13648.2,5934,6
Sunscreen,Budget version 1,Dec,670.18,3196.01,1389.57,1
Sunscreen,Budget version 1,Jan,69.91,332.79,144.69,0
Sunscreen,Budget version 1,Feb,76.8,366.27,159.25,0
Tents,Budget version 1,Mar,10523.73,50189.99,21821.73,22
Tents,Budget version 1,Apr,316369.37,1508838.13,656016.58,656
Tents,Budget version 1,May,5919.74,28231.76,12274.68,12
Tools,Budget version 1,Jun,2277.38,10861.12,4722.23,5
Tools,Budget version 1,Jul,3741.48,17843.25,7757.93,8
Tools,Budget version 1,Aug,3578.69,17067.38,7420.6,7
Watches,Budget version 1,Sep,8419.64,40155.93,17459.1,17
Watches,Budget version 1,Oct,3367.99,16062.44,6983.67,7
Watches,Budget version 1,Nov,1824.14,8700.58,3782.86,4
Watches,Budget version 1,Dec,1683.99,8031.05,3491.76,3
Climbing Accessories,Budget version 1,Jan,4224.92,20149.51,8760.66,9
Eyewear,Budget version 1,Feb,4340.45,20700.89,9000.39,9
Golf Accessories,Budget version 1,Mar,2464.78,11754.81,5110.79,5
Golf Accessories,Budget version 1,Apr,2024.67,9655.64,4198.1,4
Golf Accessories,Budget version 1,May,175.92,839.54,365.02,0
Insect Repellents,Budget version 1,Jun,361.02,1721.74,748.58,1
Irons,Budget version 1,Jul,12163.09,58009.02,25221.31,25
Irons,Budget version 1,Aug,13031.84,62152.22,27022.7,27
Lanterns,Budget version 1,Sep,1013.81,4834.39,2101.91,2
Lanterns,Budget version 1,Oct,5364.1,25581.88,11122.56,11
Packs,Budget version 1,Nov,2035.17,9706.19,4220.08,4
Packs,Budget version 1,Dec,2543.88,12132.9,5275.17,5
Packs,Budget version 1,Jan,11447.94,54597.38,23737.99,24
Packs,Budget version 1,Feb,5342.44,25478.82,11077.75,11
Putters,Budget version 1,Mar,673.47,3212.09,1396.56,1
Putters,Budget version 1,Apr,2188.77,10439.06,4538.72,5
Putters,Budget version 1,May,505.1,2408.99,1047.39,1
Rope,Budget version 1,Jun,11924.16,56868.86,24725.59,25
Safety,Budget version 1,Jul,1050.9,5011.94,2179.1,2
Sunscreen,Budget version 1,Aug,739.76,3528.81,1534.27,2
Tents,Budget version 1,Sep,15785.44,75285.14,32732.67,33
Tents,Budget version 1,Oct,41437.22,197623.33,85923.19,86
Tools,Budget version 1,Nov,3985.33,19007.05,8263.93,8
Watches,Budget version 1,Dec,2946.91,14054.51,6110.66,6
Woods,Budget version 1,Jan,5506.21,26259.94,11417.37,11
Woods,Budget version 1,Feb,2752.94,13129.97,5708.68,6
Woods,Budget version 1,Mar,9635.62,45954.89,19980.39,20
Binoculars,Budget version 1,Apr,1675.13,7989.04,3473.5,3
Cooking Gear,Budget version 1,May,877.28,4183.24,1818.8,2
Cooking Gear,Budget version 1,Jun,234.01,1115.55,485.02,0
Cooking Gear,Budget version 1,Jul,1520.22,7250.92,3152.57,3
Cooking Gear,Budget version 1,Aug,350.85,1673.16,727.46,1
Cooking Gear,Budget version 1,Sep,2806.77,13386.29,5820.13,6
First Aid,Budget version 1,Oct,231.71,1105.38,480.6,0
First Aid,Budget version 1,Nov,165.41,789.65,343.33,0
Insect Repellents,Budget version 1,Dec,229.08,1091.92,474.75,0
Insect Repellents,Budget version 1,Jan,149.66,713.84,310.37,0
Insect Repellents,Budget version 1,Feb,193.64,923.88,401.69,0
Insect Repellents,Budget version 1,Mar,131.94,629.82,273.83,0
Knives,Budget version 1,Apr,1783.44,8505.63,3698.1,4
Knives,Budget version 1,May,2282.96,10887.38,4733.64,5
Lanterns,Budget version 1,Jun,971.47,4632.87,2014.29,2
Lanterns,Budget version 1,Jul,1435.88,6848.88,2977.77,3
Lanterns,Budget version 1,Aug,591.42,2820.22,1226.18,1
Lanterns,Budget version 1,Sep,2998.76,14301.64,6218.1,6
Lanterns,Budget version 1,Oct,2872.08,13697.43,5955.4,6
Lanterns,Budget version 1,Nov,1098.16,5237.42,2277.14,2
Navigation,Budget version 1,Dec,4252.16,20280.13,8817.45,9
Navigation,Budget version 1,Jan,9664.18,46090.77,20039.47,20
Navigation,Budget version 1,Feb,6764.86,32263.7,14027.7,14
Navigation,Budget version 1,Mar,3865.54,18436.31,8015.79,8
Packs,Budget version 1,Apr,1780.81,8492.83,3692.53,4
Packs,Budget version 1,May,3052.92,14559.28,6330.12,6
Packs,Budget version 1,Jun,6105.5,29118.56,12660.24,13
Packs,Budget version 1,Jul,8903.74,42464.49,18462.82,18
Packs,Budget version 1,Aug,1526.46,7279.8,3165.13,3
Sleeping Bags,Budget version 1,Sep,1204.82,5746.78,2498.6,2
Sleeping Bags,Budget version 1,Oct,2108.69,10056.7,4372.48,4
Sleeping Bags,Budget version 1,Nov,1355.47,6464.88,2810.82,3
Sleeping Bags,Budget version 1,Dec,2711.26,12930.1,5621.78,6
Sleeping Bags,Budget version 1,Jan,1656.75,7901.74,3435.54,3
Sunscreen,Budget version 1,Feb,132.59,632.44,274.97,0
Sunscreen,Budget version 1,Mar,258.29,1231.73,535.53,1
Sunscreen,Budget version 1,Apr,348.88,1664.63,723.75,1
Sunscreen,Budget version 1,May,111.59,532.67,231.6,0
Sunscreen,Budget version 1,Jun,279.3,1331.51,578.92,1
Tents,Budget version 1,Jul,17758.9,84695.62,36824.18,37
Tents,Budget version 1,Aug,12496.87,59600.79,25913.39,26
Tents,Budget version 1,Sep,58538.08,279182.02,121383.49,121
Watches,Budget version 1,Oct,2666.3,12716.11,5528.74,6
Eyewear,Budget version 1,Nov,4783.22,22812.97,9918.68,10
Insect Repellents,Budget version 1,Dec,2159.23,10297.03,4476.97,4
Knives,Budget version 1,Jan,10416.38,49679.46,21599.77,22
Sunscreen,Budget version 1,Feb,904.2,4310.32,1874.05,2
Golf Accessories,Budget version 1,Mar,4365.48,20819.21,9051.83,9
Golf Accessories,Budget version 1,Apr,16490.8,78649.12,34195.27,34
Golf Accessories,Budget version 1,May,9215.61,43951.35,19109.28,19
Irons,Budget version 1,Jun,50264.48,239724.22,104227.92,104
Irons,Budget version 1,Jul,23935.98,114154.35,49632.33,50
Irons,Budget version 1,Aug,59839.05,285385.41,124080.61,124
Irons,Budget version 1,Sep,28722.82,136985.4,59558.87,60
Putters,Budget version 1,Oct,6030.11,28759.89,12504.3,13
Putters,Budget version 1,Nov,40821.01,194683.3,84644.91,85
Putters,Budget version 1,Dec,27832.18,132738.37,57712.33,58
Putters,Budget version 1,Jan,5102.4,24335.64,10580.71,11
Woods,Budget version 1,Feb,26546.41,126606.99,55046.52,55
Woods,Budget version 1,Mar,64470.36,307474.11,133684.4,134
Woods,Budget version 1,Apr,79640.13,379820.96,165139.55,165
Woods,Budget version 1,May,68262.58,325560.83,141548.19,142
Binoculars,Budget version 1,Jun,28613.41,136463.67,59332.03,59
Binoculars,Budget version 1,Jul,7383.7,35216.78,15311.64,15
Climbing Accessories,Budget version 1,Aug,7290.56,34771.92,15118.23,15
Climbing Accessories,Budget version 1,Sep,7930.74,37821.78,16444.25,16
Cooking Gear,Budget version 1,Oct,23037.21,109871.15,47770.07,48
Cooking Gear,Budget version 1,Nov,7893.67,37648.18,16368.77,16
Eyewear,Budget version 1,Dec,4384.47,20911.43,9091.93,9
Eyewear,Budget version 1,Jan,5181.97,24713.59,10745.04,11
First Aid,Budget version 1,Feb,6202.81,29582.71,12862.05,13
First Aid,Budget version 1,Mar,1003.66,4785.03,2080.45,2
Insect Repellents,Budget version 1,Apr,5191.01,24757.9,10764.3,11
Knives,Budget version 1,May,19653.69,93733.89,40753.87,41
Knives,Budget version 1,Jun,5109.63,24370.9,10596.04,11
Lanterns,Budget version 1,Jul,27228.17,129859.4,56460.61,56
Lanterns,Budget version 1,Aug,11868.53,56605.63,24611.14,25
Navigation,Budget version 1,Sep,14377.68,68570.01,29813.05,30
Packs,Budget version 1,Oct,70788.01,337602.96,146783.9,147
Packs,Budget version 1,Nov,19624.76,93592.84,40692.54,41
Rope,Budget version 1,Dec,18772.1,89528.46,38925.42,39
Sleeping Bags,Budget version 1,Jan,1245.08,5936.98,2581.3,3
Sleeping Bags,Budget version 1,Feb,10373.89,49476.02,21511.31,22
Sunscreen,Budget version 1,Mar,2000.09,9538.41,4147.13,4
Sunscreen,Budget version 1,Apr,1384.33,6603.37,2871.03,3
Tents,Budget version 1,May,143153.85,682732.49,296840.21,297
Tents,Budget version 1,Jun,250065.55,1192621.72,518531.18,519
Tools,Budget version 1,Jul,2016.37,9617.98,4181.73,4
Tools,Budget version 1,Aug,2913.33,13893.03,6040.45,6
Watches,Budget version 1,Sep,21650.16,103255.12,44893.53,45
Binoculars,Budget version 1,Oct,14307.16,68231.84,29666.02,30
Binoculars,Budget version 1,Nov,5999.37,28613.41,12440.61,12
Eyewear,Budget version 1,Dec,4384.47,20911.43,9091.93,9
Eyewear,Budget version 1,Jan,4384.47,20911.43,9091.93,9
First Aid,Budget version 1,Feb,912.34,4350.11,1891.35,2
First Aid,Budget version 1,Mar,1869.89,8918.12,3877.44,4
Irons,Budget version 1,Apr,11967.99,57076.72,24815.97,25
Knives,Budget version 1,May,15133.6,72175.05,31380.46,31
Knives,Budget version 1,Jun,4717.21,22496.5,9781.09,10
Navigation,Budget version 1,Jul,10649.67,50792.53,22083.71,22
Putters,Budget version 1,Aug,5566.26,26547.31,11542.31,12
Rope,Budget version 1,Sep,7039.2,33572.95,14596.93,15
Sunscreen,Budget version 1,Oct,1134.77,5411.64,2352.89,2
Sunscreen,Budget version 1,Nov,711.61,3393.46,1475.42,1
Tools,Budget version 1,Dec,8963.33,42746.96,18585.63,19
Watches,Budget version 1,Jan,7345.72,35033.23,15231.84,15
Watches,Budget version 1,Feb,15851.53,75597.45,32868.46,33
Binoculars,Budget version 1,Mar,6310.39,30095.79,13085.13,13
Binoculars,Budget version 2,Apr,6788.72,32376.46,14076.72,14
Cooking Gear,Budget version 1,May,1174.82,5603.19,2436.17,2
Cooking Gear,Budget version 1,Jun,930.02,4435.79,1928.6,2
Cooking Gear,Budget version 1,Jul,1125.91,5369.66,2334.63,2
Cooking Gear,Budget version 2,Aug,1260.54,6011.74,2613.8,3
Cooking Gear,Budget version 2,Sep,1008.32,4809.45,2091.07,2
Cooking Gear,Budget version 2,Oct,1184.98,5651,2456.96,2
Eyewear,Budget version 1,Nov,1090.2,5198.76,2260.33,2
Eyewear,Budget version 1,Dec,1816.9,8664.7,3767.26,4
Eyewear,Budget version 1,Jan,2422.44,11552.84,5022.97,5
Eyewear,Budget version 2,Feb,1185.26,5652.37,2457.55,2
Eyewear,Budget version 2,Mar,1933.67,9222.16,4009.63,4
Eyewear,Budget version 2,Apr,2619.71,12494.67,5432.47,5
First Aid,Budget version 1,May,886.88,4230,1839.13,2
First Aid,Budget version 1,Jun,83.25,396.46,172.37,0
First Aid,Budget version 2,Jul,949.25,4527.01,1968.27,2
First Aid,Budget version 2,Aug,85.72,408.55,177.63,0
Golf Accessories,Budget version 1,Sep,3021.39,14409.11,6264.83,6
Golf Accessories,Budget version 1,Oct,3758.26,17923.4,7792.78,8
Golf Accessories,Budget version 2,Nov,3225.8,15384.46,6688.9,7
Golf Accessories,Budget version 2,Dec,4022.57,19185.31,8341.44,8
Insect Repellents,Budget version 1,Jan,1783.66,8507.27,3698.81,4
Insect Repellents,Budget version 1,Feb,324.2,1546.83,672.53,1
Insect Repellents,Budget version 1,Mar,530.81,2530.97,1100.42,1
Insect Repellents,Budget version 2,Apr,1913.34,9124.62,3967.23,4
Insect Repellents,Budget version 2,May,349.2,1665.52,724.14,1
Insect Repellents,Budget version 2,Jun,569.28,2715.6,1180.7,1
Irons,Budget version 1,Jul,2181.77,10406.04,4524.37,5
Irons,Budget version 2,Aug,2247.43,10718.16,4660.07,5
Knives,Budget version 1,Sep,776.44,3702.49,1609.78,2
Knives,Budget version 1,Oct,1015.19,4841.87,2105.16,2
Knives,Budget version 1,Nov,2568.06,12247.12,5324.83,5
Knives,Budget version 2,Dec,830.29,3960.48,1721.95,2
Knives,Budget version 2,Jan,1076.46,5133.92,2232.14,2
Knives,Budget version 2,Feb,2737.3,13054.6,5675.91,6
Lanterns,Budget version 1,Mar,1272.9,6070.53,2639.36,3
Lanterns,Budget version 1,Apr,2899.41,13827.47,6011.94,6
Lanterns,Budget version 1,May,1767.72,8431.44,3665.84,4
Lanterns,Budget version 1,Jun,1414.4,6745.04,2932.63,3
Lanterns,Budget version 2,Jul,1365.77,6513.15,2831.8,3
Lanterns,Budget version 2,Aug,3113.71,14850.08,6456.56,6
Lanterns,Budget version 2,Sep,1893.83,9031.76,3926.85,4
Lanterns,Budget version 2,Oct,1511.38,7207.99,3133.91,3
Packs,Budget version 1,Nov,7453.61,35548.42,15455.83,15
Packs,Budget version 1,Dec,10435.17,49767.95,21638.24,22
Packs,Budget version 1,Jan,4898.19,23360.36,10156.68,10
Packs,Budget version 2,Feb,7896.78,37661.22,16374.44,16
Packs,Budget version 2,Mar,11186.87,53353.39,23197.13,23
Packs,Budget version 2,Apr,5264.43,25107.48,10916.3,11
Putters,Budget version 1,May,2537.01,12100.13,5260.93,5
Putters,Budget version 2,Jun,2758.46,13155.44,5719.76,6
Sleeping Bags,Budget version 1,Jul,5169.64,24654.97,10719.55,11
Sleeping Bags,Budget version 2,Aug,5584.51,26633.42,11579.75,12
Sunscreen,Budget version 1,Sep,712.97,3399.99,1478.26,1
Sunscreen,Budget version 1,Oct,309.64,1477.04,642.19,1
Sunscreen,Budget version 2,Nov,761.32,3631.06,1578.72,2
Sunscreen,Budget version 2,Dec,331.07,1578.7,686.39,1
Tents,Budget version 1,Jan,27530.47,131299.12,57086.57,57
Tents,Budget version 1,Feb,60016.56,286232.25,124448.8,124
Tents,Budget version 2,Mar,29490.52,140647.66,61151.16,61
Tents,Budget version 2,Apr,64369.1,306990.48,133474.12,133
Watches,Budget version 1,May,11160.22,53225.09,23141.34,23
Watches,Budget version 1,Jun,2701.86,12886.18,5602.69,6
Watches,Budget version 1,Jul,4581.41,21850.35,9500.15,10
Watches,Budget version 1,Aug,6343.63,30254.32,13154.05,13
Watches,Budget version 2,Sep,11978.97,57130.07,24839.16,25
Watches,Budget version 2,Oct,2904.08,13849.72,6021.62,6
Watches,Budget version 2,Nov,4900.39,23371.35,10161.46,10
Watches,Budget version 2,Dec,6775.81,32316.02,14050.44,14
Woods,Budget version 1,Jan,18437.45,87932.23,38231.4,38
Woods,Budget version 1,Feb,5761.72,27478.82,11947.31,12
Woods,Budget version 1,Mar,2304.58,10991.53,4778.93,5
Woods,Budget version 2,Apr,19583.97,93400.52,40608.92,41
Woods,Budget version 2,May,5934.54,28303.06,12305.68,12
Woods,Budget version 2,Jun,2373.81,11321.22,4922.27,5
Tents,Budget version 1,Jul,26979.88,128673.09,55944.82,56
Tents,Budget version 2,Aug,28923.44,137942.78,59975.12,60
Tools,Budget version 1,Sep,612.69,2922.48,1270.64,1
Tools,Budget version 2,Oct,666.26,3177.45,1381.5,1
Eyewear,Budget version 1,Nov,8720.74,41590.65,18082.89,18
Eyewear,Budget version 2,Dec,9356.51,44623.31,19401.44,19
Golf Accessories,Budget version 1,Jan,442.07,2108.68,916.82,1
Golf Accessories,Budget version 1,Feb,1178.94,5622.97,2444.77,2
Golf Accessories,Budget version 1,Mar,4495.14,21437.96,9320.85,9
Golf Accessories,Budget version 1,Apr,2358.15,11246.22,4889.66,5
Golf Accessories,Budget version 1,May,884.14,4217.37,1833.64,2
Golf Accessories,Budget version 1,Jun,147.26,702.8,305.57,0
Golf Accessories,Budget version 2,Jul,455.53,2171.88,944.3,1
Golf Accessories,Budget version 2,Aug,1252.3,5972.73,2596.84,3
Golf Accessories,Budget version 2,Sep,4819.61,22986.16,9993.98,10
Golf Accessories,Budget version 2,Oct,2542.78,12126.51,5272.4,5
Golf Accessories,Budget version 2,Nov,948.7,4524.81,1967.31,2
Golf Accessories,Budget version 2,Dec,151.94,723.96,314.77,0
Irons,Budget version 1,Jan,24000.8,114465.64,49767.67,50
Irons,Budget version 1,Feb,16000.44,76310.43,33178.45,33
Irons,Budget version 1,Mar,5818.32,27749.17,12064.86,12
Irons,Budget version 1,Apr,1454.51,6937.36,3016.24,3
Irons,Budget version 1,May,4363.81,20811.81,9048.61,9
Irons,Budget version 1,Jun,7273.1,34686.53,15081.1,15
Irons,Budget version 2,Jul,25844.63,123258.65,53590.72,54
Irons,Budget version 2,Aug,17229.66,82172.43,35727.14,36
Irons,Budget version 2,Sep,5993.06,28581.66,12426.81,12
Irons,Budget version 2,Oct,1498.2,7145.35,3106.67,3
Irons,Budget version 2,Nov,4494.59,21436.31,9320.13,9
Irons,Budget version 2,Dec,7865.73,37513.41,16310.18,16
Putters,Budget version 1,Jan,4510.52,21511.32,9352.75,9
Putters,Budget version 1,Feb,704.73,3361.25,1461.41,1
Putters,Budget version 1,Mar,1973.23,9411.18,4091.82,4
Putters,Budget version 1,Apr,845.67,4033.29,1753.6,2
Putters,Budget version 1,May,140.95,672.31,292.31,0
Putters,Budget version 1,Jun,3523.63,16805.72,7306.83,7
Putters,Budget version 1,Jul,1127.56,5377.9,2338.22,2
Putters,Budget version 2,Aug,4863.57,23195.24,10084.89,10
Putters,Budget version 2,Sep,725.88,3462.09,1505.26,2
Putters,Budget version 2,Oct,2105.11,10039.8,4365.13,4
Putters,Budget version 2,Nov,870.95,4154.45,1806.28,2
Putters,Budget version 2,Dec,145.07,692.36,301.03,0
